IRIS;REVDISMED;MEN_TOT_2019;MEN_1PERS_2019;FAM_TOT_2019;FAM_2ENF_2019;FAM_3ENF_2019;FAM_4ENFPLUS_2019;PART_FAM_2ENF_2019;ACCESS;logaccessstand;trv50stand;distancestand;CAH_4;immo_2017;immo_2018;immo_2019;immo_2020;immo_2021;immo_nb_annees;immo_moy;immo_ECTYPE;immo_ECTYPE/MOY;immo_qualite
011940000;22840;2667,019904;805,6101399;1866,413554;375,2842267;150,1136907;35,02652782;20,97378277;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
011940101;22840;1801,364288;585,4433936;1215,920894;225,170536;110,0833732;20,01515876;19,72222222;1678;-0,51227631;0,590821891;0,836913303;1;2213;2617;2462;2623;3373;5;2657,6;433,1775617;0,162995771;oui
011940102;22840;865,6556162;220,1667463;650,4926596;150,1136907;40,03031751;15,01136907;23,56321839;1179;-0,644976026;0,829054759;0,700792138;1;2465;2774;2631;2656;2908;5;2686,8;165,673474;0,061662005;oui
011980000;23950;100,7040173;20,47131988;80,23269746;19,97016004;4,91874636;4,870197486;29,5510593;67;-1,723207993;0,454688823;1,104403029;1;2225;2114;2114;2003;2617;3;2214,6;238,2483998;0,107580782;oui
012070000;27960;127,2267936;26,4699205;95,58788235;19,71115098;4,811440431;4,478622668;23,7602295;62;-1,752368963;0,658888424;0,979060956;1;5155;2600;5032;2021;4033;5;3768,2;1414,913672;0,375487944;nope
012130000;23480;511,0496538;114,2324982;391,6773572;111,0543736;39,88167193;4,93471941;30,80998784;276;-1,190918597;1,237453962;1,964904107;1;2259;2074;2213;2151;2481;5;2235,6;153,7458943;0,068771647;oui
012240000;22530;1247,610179;318,5064307;918,8261717;265,327586;75,85716544;25,04451728;29,59828812;1273;-0,616134096;0,829054759;1,14576059;2;2294;2236;2837;2928;2847;5;2628,4;334,238388;0,127164202;oui
012250000;25590;153,2034755;28,91742159;118,9520592;32,14205683;4,184481514;3,859265671;27,17653691;755;-0,812555465;1,611819898;1,483155242;1;1889;2199;3419;2533;2103;5;2428,6;600,3522299;0,247200951;oui
012350000;22340;481,6706857;162,1952309;319,4754548;63,89509096;29,49004198;9,830013993;21,42857143;180;-1,351632442;0,522755357;1,787445676;1;2564;1886;2718;2717;2543;5;2485,6;345,1511263;0,138860286;oui
012380000;27410;1044,722985;236,5410532;803,2539931;206,9734215;78,84701772;14,78381582;28,90995261;2947;-0,300525439;0,284522489;0,111008869;2;2842;3025;2997;3396;3599;5;3171,8;313,7032037;0,098903841;oui
012430000;25670;515;120;395;105;30;0;26,21359223;1419;-0,575310787;1,611819898;1,374776911;1;2552;2964;2513;2642;3428;5;2819,8;383,4569076;0,135987271;oui
012440000;23280;3363,178989;1162,275092;2181,120491;539,0978085;163,213098;64,2960689;22,92899408;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
012440101;23280;1315,596487;494,5851454;816,0654899;182,9965038;49,45851454;19,78340582;19,24528302;3019;-0,291449859;0,148389421;1,348515816;2;2120;2788;2447;2501;2890;5;2549,2;304,2000986;0,119331594;oui
012440102;23280;1093,033171;479,747591;603,3938774;113,7545834;54,40436599;9,891702908;16,43835616;3019;-0,291449859;0,182422688;1,444939377;2;2357;2170;2250;3230;3161;5;2633,6;517,7898222;0,196609137;oui
