puissance_crete;surface;pente;pente_optimum;orientation;orientation_optimum;installateur;production_pvgis;lat;lon;postal_code
2880;24;20;35;-75;-2;LEPARGNEUR;2825;45.43;4.33;42230
1980;17;25;37;-35;-13;VENITUCCI;2332;45.20;5.72;38700
2400;18;30;;40;0;remi.lepargneur;2481;45.48;4.41;42350
2520;15;20;;-55;;FL Energie;0;45.48;4.07;42560
2720;21;30;37;-20;-3;Vent solaire applications;3200;45.80;4.89;69140
2000;15;15;;Sud;-1;BIOVOLT;2180;45.73;4.69;69290
10416;180;10;;Sud;;industrie;0;45.98;4.73;69400
1920;16;35;34;80;3;ISP M.Fracheboud;1832;45.37;4.48;42660
3360;26;25;36;35;-2;Xylon Meylan;3636;45.35;5.60;38500
3000;25;20;35;-90;-2;LEPARGNEUR;2826;45.43;4.33;42230
2940;17;20;36;45;2;"SES Solaire Energies Syst&amp;egrave;mes";3321;45.53;5.11;38790
2704;17;40;;Sud;;SPER;0;45.64;4.26;42210
2940;18;45;38;35;-22;Charpentiers de Chartreuse;2975;45.34;5.90;38660
2880;20;30;;50;;WATT et HOME;0;45.36;5.59;38500
13545;70;30;;-15;;particulier;0;45.69;4.87;69200
12900;77;30;36;-10;-1;hd;14456;46.06;4.25;42460
2940;23;20;37;Sud;0;ENERCOS technologies;3547;45.32;4.90;38150
2940;18;20;35;25;-19;Energie Sol Onde Air 04860 PIERREVERT;3016;45.26;5.44;38210
2940;18;30;37;-35;1;ERDS   Mr.GUIA;3406;45.73;4.98;69740
2100;15;20;37;-20;-3;nicolosi;2369;45.56;4.13;42610
2800;25;25;;-10;;MDA ENERGIE NOUVELLE;0;45.60;4.78;69520
3000;25;20;36;-45;1;EPB Jacky Gacon;3350;45.58;5.16;38090
2730;16;40;36;30;7;123 Solaire;3191;45.80;4.84;69300
3000;25;20;35;-75;-2;LEPARGNEUR;2943;45.43;4.33;42230
3500;30;25;;-5;;MDA ENERGIE NOUVELLE;0;45.95;4.64;69400
2940;19;20;37;-25;-1;ENERCOS technologies;3340;45.71;4.69;69126
2040;16;25;;20;;ARVIGELEC, France Photons;0;45.25;5.81;38330
2940;18;20;36;-90;-2;123 Solaire;0;45.93;4.70;69480
2940;20;25;35;-40;-3;"SES Solaire Energies Syst&egrave;mes";3125;45.25;5.46;38210
2940;18;20;37;10;1;S comme solaire;3435;45.75;5.06;69330
2450;18;30;37;Sud;1;Expert Solaire;2912;45.85;4.84;69250
2940;24;20;36;-40;-2;ARTIS EN SOLAIRE;3129;45.41;4.26;42240
1800;15;20;;20;;Solaris ENR;0;45.86;5.09;1360
2970;23;55;36;5;0;APE SUD;3423;45.60;4.84;69360
2800;21;20;;-20;;PHOTON TECHNOLOGIES;0;46.11;4.90;1990
2415;35;20;;90;;Travo d Avenir;0;45.79;4.45;69770
1100;8;35;37;Sud;0;auto construction;1321;45.76;4.85;69006
1410;11;40;36;Sud;1;Solaire Le Vent;1627;45.52;4.37;42570
2990;17;20;36;30;2;A l Eau Solaire;3409;45.65;5.18;38290
2940;22;20;;20;-1;A l Eau Solaire;3552;45.64;5.18;38290
2940;23;20;37;75;0;a2 energie;3027;45.98;4.77;1480
2960;20;30;;Sud;-1;"Soleil en T&ecirc;te";3375;45.79;5.04;69330
2970;24;20;37;-5;0;LEPARGNEUR;3412;45.61;4.78;69520
2760;18;20;;90;;SADEJA SOLAIRE;0;46.19;5.20;1000
2720;21;30;;Sud;-1;Ets Cherbland;3303;45.82;4.19;42510
3000;30;15;36;-25;-1;Au Soleil De France;3229;45.68;4.37;69610
2996;20;30;;-80;;en cours de reflexion;0;46.21;5.54;1580
3000;20;15;36;-5;2;SADEJA SOLAIRE;3293;46.39;5.11;1560
2996;25;20;37;Sud;-1;SOLANE;3458;45.74;4.71;69290
2940;20;20;37;-105;0;a2 energie;2755;46.04;4.76;1480
2940;22;30;36;-45;-5;Evasol;3222;45.82;4.01;42260
2880;21;20;36;45;-2;GMV Industrie (EDF );3084;45.53;4.22;42160
3000;26;20;;20;-1;kap energy;3333;45.88;5.14;1800
3000;16;25;37;-45;-1;Dimension Energie;3343;45.71;4.69;69126
3000;20;20;36;Sud;-2;HELIOS;0;45.54;4.27;42160
7848;39;20;36;-50;-1;FL Energie;8319;45.77;4.43;69770
3000;29;20;;-20;-2;Electricite Service - Ternay;3669;45.60;4.83;69360
2520;20;20;;80;;EPB Solaire;0;45.39;4.86;38150
3000;12;25;36;-50;-2;En liquidation ;3291;45.52;5.40;38690
5880;39;20;;55;-1;FL Energie;6055;45.54;4.56;42800
2996;18;25;36;10;1;http://www.aleausolaire.fr/;3523;45.74;5.18;38230
2992;23;30;36;Sud;-4;SPER;3448;45.78;4.29;42360
5760;40;35;36;10;-1;lumensol;6772;45.39;5.37;38690
0;17;30;;45;;Evasol;0;45.63;4.59;69440
2992;21;20;36;Sud;-2;ASOLTEC;3502;45.42;5.30;38260
2996;18;45;;-70;;"Volta&iuml;que Sud";0;44.96;5.97;38740
0;20;30;;Sud;;PCIM PV SOLUTIONS;0;45.90;4.83;1600
2996;18;20;36;Sud;-3;Artis'an solaire;3244;45.54;4.59;42800
2960;21;25;37;-30;-5;Goncelinoise de charpentes et toitures;3327;45.23;5.82;38330
2850;24;20;37;Sud;1;CAP ECO ENERGIE;3298;45.99;4.81;1480
2940;19;20;;-85;;a2 energie;0;46.11;4.72;69220
750;3;20;36;-20;1;Enphase;859;45.63;5.15;38290
8820;58;20;36;-20;-2;FL Energie;9489;45.54;4.59;42800
3000;24;30;;20;;Astreo Energies;0;45.76;5.22;38460
2997;2997;65;34;45;13;BPPS;2858;45.33;5.49;38140
2380;16;20;37;-60;-1;123 Solaire;2548;45.71;4.69;69126
2992;22;20;;55;0;ASOLTEC;3058;45.07;5.28;38680
3000;24;20;37;Sud;-1;Solutions Soleil Energie;3436;45.63;4.72;69440
3080;22;45;;20;;Cermelec;0;45.15;5.83;38410
2835;21;50;;-10;-7;KBE Solaire;3105;45.07;6.01;38520
2940;20;30;36;15;-1;"SES Solaire Energies Syst&egrave;mes";3365;45.53;5.64;38480
3000;25;35;37;-30;0;SOLAIRE ATTITUDE;3436;45.36;5.59;38500
2880;22;40;;30;;SWEETAIR ENERGIE;0;45.02;5.76;38220
2996;18;20;36;20;-4;FL Energie;3392;45.55;4.49;42320
2880;17;20;36;30;1;A l Eau Solaire;3263;45.74;5.21;38460
2940;20;25;36;-75;-12;a2 energie;3079;45.14;5.67;38180
2568;15;45;30;-5;11;7 ENERGIES;2426;45.34;6.00;38570
2775;21;30;;-5;0;SOLAR TOTAL;3145;45.67;5.25;38460
2880;26;20;36;10;-2;G2S;3121;45.26;5.47;38210
2880;21;30;36;30;-8;SWEETAIR ENERGIE;3050;45.40;5.66;38960
5880;45;20;35;90;0;PCIM PV SOLUTIONS;5331;45.48;4.59;42320
2940;20;20;;-5;-1;a2 energie;3212;46.02;4.78;1480
3200;20;35;;-45;;LEPARGNEUR;0;45.85;4.68;69380
2925;22;30;;-40;0;CPAE;3449;45.39;5.49;38140
2960;21;20;36;Sud;0;VIOSUN;3437;45.68;4.85;69320
2800;22;20;;Sud;-1;Evasol;3195;45.51;4.21;42160
2160;20;30;36;90;1;Ent.Silva;2131;45.50;5.00;38440
3000;16;20;37;-25;0;"Solar D&eacute;veloppement";3416;45.97;4.80;1600
3290;22;30;37;60;0;NOVASOL;3526;45.84;4.74;69380
2850;24;20;;Sud;;CAP ECO ENERGIE;0;45.98;5.36;1500
2960;21;35;;Sud;;"avenir electricit&eacute;";0;45.66;4.72;69530
2960;21;15;;45;-1;ETS CHERBLAND;3259;46.08;3.98;42640
2960;20;45;37;-90;-3;INTINOVA;2671;45.60;4.22;42210
2940;18;20;;Sud;0;FL Energie;3148;45.51;4.61;42800
3000;25;30;;15;;"Soleil en T&ecirc;te";0;45.86;5.05;1120
2960;24;20;;70;-1;LEPARGNEUR;3073;45.58;4.22;42210
2940;20;20;;Sud;-1;"SES Solaire Energies Syst&egrave;mes";3168;46.26;4.91;1290
1320;20;25;;-60;;test;0;45.72;4.21;42110
3000;28;30;;30;-2;AMITEL CLIM;3375;45.44;6.01;38530
73600;500;25;;Sud;-1;ETERA;89740;45.54;4.16;42450
2970;24;20;;Sud;-1;"Soleil en T&ecirc;te";3255;46.17;5.20;1960
2960;21;20;;90;;GEO3+;0;45.54;4.16;42450
2800;21;30;37;20;1;EDF ENR;3332;45.70;4.97;69800
2960;21;40;37;45;-10;SWEETAIR ENERGIE;3025;45.27;5.87;38920
2940;22;15;;-45;;Evasol;0;45.66;4.90;69960
2244;23;35;35;Sud;6;"Soleil en T&ecirc;te";2608;45.61;5.28;38300
2960;21;30;;Sud;-1;GENELEC MORIN;3566;46.36;5.29;1270
3000;24;20;;Sud;-5;"Solha&iuml;c";3660;45.64;4.81;69390
2996;19;20;;Sud;-1;sibert group;3364;45.83;4.98;1700
2820;20;20;37;-15;0;123 Solaire;3235;45.69;4.79;69230
2250;16;20;;-20;;FL Energie;0;45.39;4.25;42490
3000;22;15;36;Sud;1;ALVENA;3363;45.63;5.55;38630
2960;22;35;37;70;-1;SUNNCO;3051;45.53;4.67;69420
1950;18;45;;Sud;;Energia;0;45.46;5.44;38690
2960;21;20;;Sud;-1;Energia;3627;45.91;4.84;1600
3000;20;25;34;70;5;sol air confort;2917;45.46;4.35;42390
2960;20;20;36;-30;2;Eco Alternatives;3260;46.25;5.21;1440
3000;29;30;32;35;-9;http://www.photon-wide-power.com;2802;45.37;6.05;38830
