puissance_crete;surface;pente;pente_optimum;orientation;orientation_optimum;installateur;production_pvgis;lat;lon;postal_code
2940;17;35;;-5;0;"SES Solaire Energies Syst&egrave;mes";3456;45.36;5.51;38140
2890;22;25;36;70;1;CERVIN;2999;46.05;5.34;1160
3000;20;20;;-110;;ABS;0;45.69;4.67;69510
2996;18;20;37;-10;0;PV Solutions PCIM;3604;45.31;4.87;38150
2960;20;25;36;70;-2;"Watt&amp;amp;Home";2975;45.12;5.77;38320
2982;22;45;35;-20;-11;PANOSUN;3334;45.67;5.67;1300
2880;20;20;37;-65;-1;BAGLIONI;3048;45.67;4.70;69510
4000;27;20;;20;;ENERCOS technologies;0;45.51;5.37;38110
2700;14;35;34;Sud;-6;Home Concept / KOREAM;3106;45.65;5.40;38510
1850;13;20;37;-45;1;AIR SOLAIRE;2058;45.71;5.12;69124
2940;17;15;37;Sud;0;"Solar D&eacute;veloppement";3306;46.02;4.79;1480
2700;23;20;36;70;0;Moi;2842;45.69;5.13;38290
2960;20;35;37;90;-5;WATT et HOME;2730;45.18;5.69;38170
2960;20;35;;40;;POINT SOLAIRE;0;45.55;4.11;42610
4200;36;30;36;Sud;0;Tenesol;4884;45.96;4.66;69400
2880;21;15;;Sud;-1;GEO3+;3222;45.52;4.18;42450
9000;72;35;37;-70;-3;SARL RENOV IMMO;9204;45.30;5.49;38210
9000;72;25;37;-45;-3;SARL RENOV IMMO;9923;45.30;5.49;38210
2940;23;20;;Sud;-1;ATESOL;3615;45.69;5.02;69720
9000;50;35;37;20;-17;CIMES ENERGIES;10370;45.31;5.88;38660
2500;25;45;36;-15;2;MEAUBELEC;2918;45.78;5.17;38280
2960;21;40;;-45;;GREEN ENERGIE;0;45.63;3.98;42940
2960;24;30;37;Sud;-8;SWEETAIR ENERGIE;3548;45.45;5.99;38530
2996;20;15;;Sud;;THERMO CONCEPT FOREZIEN;0;45.55;4.32;42330
2940;18;20;;Sud;0;THERMO CONCEPT FOREZIEN;3457;45.56;4.37;42330
43200;288;15;36;90;1;FL Energie;42789;45.48;4.63;42800
2800;21;30;37;Sud;0;EDF ENR;3344;45.76;4.86;69100
2820;22;25;;-10;;123 SOLEIL;0;45.75;4.77;69160
2400;18;20;37;5;0;Lariviere;2786;45.77;4.87;69100
2400;13;35;37;35;-5;ENERCOS technologies;2763;45.20;5.74;38700
2940;17;25;;-20;;ecolo n Ergie;0;45.20;5.80;38240
2500;15;15;33;-90;9;AIR SOLAIRE;2265;45.37;4.39;42660
2960;20;10;35;-5;6;WATT et HOME;3121;45.16;5.76;38400
3000;22;25;36;5;0;ALVENA;3314;45.97;4.34;69550
2996;17;25;;-25;1;FG plus (74);3346;45.25;5.66;38120
2925;20;20;37;-20;-2;CHERBLAND;3279;45.82;4.00;42260
1850;11;10;33;35;2;WATT et HOME;1922;45.08;5.77;38220
15275;110;40;;45;;nov;0;45.39;4.30;42500
14000;105;25;35;-45;-1;Evasol;14961;45.48;4.31;42480
3000;20;20;37;-10;0;AWE;3490;45.81;4.86;69580
3000;24;40;32;30;0;Bio Solaire;3051;45.05;5.98;38520
2940;21;30;;Sud;;Solaire Le Vent;0;45.58;4.04;42600
2100;15;20;36;-30;-6;"avenir electricit&eacute;";2349;45.63;4.63;69440
2880;20;25;;45;1;subsol;2933;45.44;4.38;42000
3000;26;20;35;-10;-2;AMBF;3153;45.42;4.38;42100
2800;22;15;;-45;;Biosystem;0;45.83;4.26;42510
3424;24;35;31;-45;8;R CONFORT;3457;45.07;5.73;38560
8930;48;45;33;30;-11;Chaude Ambiance;8577;45.25;5.93;38190
2960;17;20;36;-70;-4;SWEETAIR ENERGIE;3083;45.14;5.73;38130
2996;24;25;;Sud;-1;ENERCOS technologies;3487;45.51;5.00;38440
2960;20;20;36;-20;-15;WATTHOME;3410;45.11;5.67;38640
2720;21;20;37;-20;-1;AIR FLUIDES;3113;45.78;4.74;69260
2880;27;20;36;-145;0;GSOLR;2421;45.63;4.86;69360
2992;22;20;36;-45;2;ASOLTEC;3293;45.82;5.38;38390
3000;30;20;36;-80;-7;ENERCOS technologies;3136;45.37;4.68;42520
2940;20;30;;-15;;SWEETAIR ENERGIE;0;45.24;5.39;38470
2960;21;20;;90;;A l Eau Solaire;0;45.37;5.62;38960
2960;22;30;37;-50;-2;Alt energies;3227;45.55;4.21;42160
2640;18;30;35;Sud;-15;R CONFORT;2933;45.52;4.43;42290
5200;35;20;36;90;-1;CHOUZY PAGNON;4950;45.63;4.30;42210
3120;22;25;36;-45;2;INTI PRO CONCEPT;3458;45.87;5.21;1800
2592;19;30;;Sud;2;A l Eau Solaire;2871;45.38;5.64;38960
2960;20;20;;-45;;desainjean;0;45.50;5.30;38300
3000;22;20;;80;0;ENERCOS technologies;3108;45.39;4.31;42500
2280;20;20;;-45;-1;AIR SOLAIRE;2599;45.38;5.25;38260
2940;21;25;37;-15;-1;NVL Energie;3355;45.64;4.28;42210
3010;21;25;36;-45;2;SOLARIS ENR;3296;46.12;5.17;1960
3000;25;20;36;-10;2;lepargneur sarl;3450;45.78;5.17;38280
2940;23;25;;-20;-1;AQTB;3185;45.37;6.00;38570
2880;22;20;36;45;-2;Grange et fils;3087;45.56;4.29;42340
3000;17;20;37;15;-1;LEPARGNEUR;3457;45.71;4.81;69600
2996;24;30;;Sud;;Evasol;0;45.37;4.95;38270
21000;142;25;36;60;2;Sarl GALLET;22392;46.23;5.09;1660
3000;22;20;36;-30;0;SADEJA SOLAIRE;3408;45.85;5.05;1120
3525;21;35;;70;;KBE Solaire;0;44.94;5.65;38650
2960;21;20;;-180;;BELANTIN (EDF ENR);0;45.39;5.44;38690
2000;16;30;36;90;-2;Evasol;1863;45.57;4.26;42340
3000;21;45;36;Sud;-11;Prothermie Confort;3474;45.44;5.58;38620
2940;17;20;;Sud;-4;FL Energie;3454;45.53;4.60;42800
2982;21;15;36;55;-3;ALVENA;3206;45.55;4.81;69700
2960;25;35;;Sud;;INTI PRO CONCEPT;0;45.81;5.21;1800
2982;22;25;37;-5;1;MJ Energies;3541;45.68;5.03;69720
2500;18;20;35;-30;2;SOL R ELEC;2599;45.13;5.82;38410
0;20;30;;Sud;;ECOMOTIV;0;45.75;5.21;38460
2880;19;20;;80;;A l Eau Solaire;0;45.44;4.99;38122
2820;20;20;;45;-1;SOL ENERGY;3043;45.83;5.21;1800
2996;24;30;36;-20;1;VMA ENVIRONNEMENT;3568;45.32;5.13;38260
2880;21;20;37;20;0;EDF ENR;3362;45.51;4.78;69420
0;28;40;;-5;;Energia;0;46.07;4.76;1090
3000;20;30;;-15;-1;ECOMOTIV;3499;45.33;4.89;38150
2960;23;20;36;Sud;1;Enerys;3486;45.59;4.99;38540
2592;24;30;;-180;;A l Eau Solaire;0;45.38;5.64;38960
3000;27;20;;25;-10;"air&amp;sect;chaleur d' aujourd'hui";3160;45.36;4.35;42660
2996;18;30;36;-75;0;EAST ENERGIES;3006;46.22;4.84;1290
640;4;35;;-100;;mikael;0;45.55;4.72;69700
2040;15;20;36;-105;-15;SOLAIRE ATTITUDE;1973;45.10;5.66;38640
2970;24;25;36;-45;1;"Soleil en T&amp;ecirc;te ";3327;45.53;5.21;38300
2960;19;40;33;30;11;ALDER;3017;45.35;5.67;38134
3000;27;30;;-25;;Bio Solaire;0;45.04;5.97;38520
0;22;30;;105;;sol air confort;0;45.40;4.26;42240
1152;24;70;;Sud;;SOLAIRE ELEC;0;45.19;5.87;38420
9000;58;35;37;Sud;0;SADEJA SOLAIRE;10660;46.09;4.78;1090
2880;24;25;37;-20;0;ALVENA;3515;45.35;4.90;38150
2800;21;25;;25;;EDF ENR;0;45.93;4.79;1600
2840;20;20;36;-20;8;Pi energies;3208;45.22;5.68;38120
2450;16;20;37;-45;0;systemesolaire  20 ruele corbusier 63800 cournon d;2673;45.91;4.77;69650
2900;22;35;36;Sud;1;ALVENA;3475;45.67;4.86;69320
2800;21;15;;-15;;CERDF Beaumont;0;45.21;5.68;38120
2940;23;15;37;40;0;ENERGEOS;3266;45.84;4.85;69270
2960;20;20;37;Sud;-2;A2Energies;3518;45.44;4.75;42410
2820;17;20;37;-45;1;Eco tech;3150;45.76;4.96;69150
3000;21;25;;90;;eco systeme;0;46.02;5.30;1160
2880;20;30;37;-70;-3;CONFORTO SOLAR;2986;45.36;5.58;38500
1356;110;30;;-45;0;ECO RESO;1497;45.74;5.67;1300
4440;18;25;;-20;-1;a2 energie;5446;45.89;5.09;1120
2960;20;15;37;-45;0;ISICOM Services;3187;46.12;4.76;69220
2960;21;15;;Sud;;cherbland conbustible;0;45.64;5.49;38510
2960;20;30;36;10;2;CER bandit;3497;45.79;5.16;38280
2960;22;20;35;90;-4;LOGISUN;2799;45.97;4.67;69400
2940;20;25;;-90;;"SES Solaire Energies Syst&egrave;mes";0;45.37;5.16;38260
2880;20;30;;-45;;GENELEC MORIN;0;45.47;4.43;42350
2960;21;20;36;-80;-2;SARL AIR FLUIDES;2894;45.40;4.26;42240
29250;218;10;;45;-5;"Solar D&eacute;veloppement";30308;45.87;4.82;69250
2990;18;20;;10;0;A l Eau Solaire;3615;45.64;5.19;38290
3000;25;35;;90;;teckniksun;0;45.53;5.40;38110
3360;20;20;37;-90;-1;AVENIR ELEC;3318;45.67;4.70;69510
2925;21;15;;-15;-1;CherblandHabitat;3411;45.49;4.16;42680
2960;26;20;37;45;0;"Soleil en T&ecirc;te";3383;45.46;4.81;38121
2760;20;30;36;-10;3;PCIM PV SOLUTIONS;3272;45.60;5.14;38090
2940;22;25;;45;1;NVL Energie;3039;46.00;4.11;42120
3440;20;15;36;Sud;2;ARTIS EN SOLAIRE;3756;45.74;4.28;42110
2940;23;25;;-100;;AQTB;0;45.19;5.75;38400
2992;22;20;35;30;-8;Solaire Le Vent;3100;45.46;4.36;42390
2940;100;30;;Sud;-1;SunPower;3394;45.66;4.94;69780
4200;20;30;34;-45;-8;Perso;4185;45.26;5.91;38190
2940;15;35;;Sud;;Groupe Dimention;0;45.48;4.71;42410
2880;25;30;37;45;-2;"Soleil en T&ecirc;te";3194;46.36;6.13;1220
2996;25;25;35;-20;8;CPAE;3373;45.40;5.42;38690
2996;25;35;;Sud;;NOVASOL;0;45.22;5.80;38330
2960;22;40;34;-20;0;sol air confort;3174;45.39;4.33;42500
3000;25;20;36;-5;-2;ROGER MAZARD;3352;45.72;4.43;69610
2880;23;30;;Sud;2;Solar;3213;45.98;4.33;69550
3000;23;25;;30;1;alpesoleil;3386;45.68;5.64;1300
12000;80;20;37;135;-1;ARTEIS SOLAIRE;10291;45.43;5.42;38690
3600;20;30;37;-90;1;BEEE;3478;45.79;5.05;69330
2940;16;25;34;-40;2;ASOLTEC;3178;45.13;5.71;38130
5880;35;25;37;45;0;Tenesol;6612;45.95;4.82;1600
5000;32;20;36;45;8;ISOWATT;5508;45.94;5.37;1500
6000;41;25;36;Sud;-2;LEPARGNEUR;6795;45.69;4.37;69610
2940;2347;20;;-50;-1;SARL SOL ENERGY;3172;45.75;5.11;38280
3040;24;25;36;-45;1;Photon Energie (38 St Savin);3366;45.63;5.58;38630
2700;20;30;36;-10;-9;Megawat Energies;3176;45.40;5.52;38140
2925;21;35;36;Sud;-2;Cherbland Habitat;3366;45.52;4.26;42160
7020;48;30;;Sud;-2;positivenergies;8219;46.28;6.03;1170
5390;37;30;37;-20;1;Moi meme, le client;6391;45.73;5.00;69740
2180;16;20;;-30;-1;A l Eau Solaire;2425;45.74;5.18;38230
2700;20;15;37;-45;0;Megawat Energies;2895;45.24;5.81;38330
3150;20;25;;-10;-12;SRCT Systemes Solaires;3611;45.44;4.75;42410
2940;20;40;;-10;;PCIM PV SOLUTIONS;0;45.76;4.76;69160
2800;21;35;37;-10;0;Zingueur;3367;45.83;4.87;69580
3000;27;20;;-50;-1;"ACA (&amp;amp;amp;agrave; Bo&amp;amp;amp";3333;45.47;4.50;42400
2500;18;40;36;5;-1;PRO FIL ELEC;2851;45.80;4.40;69770
2856;15;20;;45;-1;123 Solaire;3425;45.51;4.83;69560
5000;33;25;36;45;-1;lumensol;5560;45.35;5.30;38590
2760;20;30;;-30;0;Megawat Energies;3125;45.40;5.70;38380
2700;20;20;37;80;-1;Megawat Energies;2703;45.35;5.59;38430
2700;21;40;34;20;15;Megawat Energies;3184;44.90;5.85;38350
8670;56;15;36;-90;-2;THERMO CONCEPT FOREZIEN;8454;45.54;4.16;42450
2700;20;40;;45;;Megawat Energies;0;45.33;5.90;38660
1840;13;20;36;-20;0;Moi;2107;45.69;5.13;38290
2880;24;20;36;-20;1;"Solha&iuml;c";3269;45.75;5.21;38460
3000;30;30;;-65;;Photowatt;0;45.57;5.42;38110
2970;30;20;;Sud;1;Imerys;3294;45.95;5.35;1500
2880;15;25;;Sud;-2;ENRGI :-(;3273;45.23;5.81;38330
2590;21;40;36;45;1;"ENERGIE&amp;amp;;SERVICE";3791;45.60;5.15;38090
3000;17;20;36;-40;-3;A l Eau Solaire;3340;45.80;5.35;38390
3000;20;20;;45;-1;BSM Environnement;3265;45.82;5.19;1800
2650;17;20;37;10;0;SOLARTEC;3012;46.10;4.77;1090
2960;25;20;39;-100;-8;LEPARGNEUR;2952;45.30;5.88;38660
2520;16;30;;-85;;Solar Clim System;0;45.50;4.56;42320
3000;19;20;;-35;-1;ISOWATT;3238;45.87;4.70;69380
2940;21;20;35;-50;-1;solelux toiture;3040;45.97;4.33;69550
6510;44;20;37;Sud;-1;Altesol;7393;45.83;4.64;69210
2960;20;45;36;45;1;ENERGISOL;3302;45.67;4.85;69320
2400;12;20;35;-45;-7;moi;2624;45.57;5.30;38300
2880;30;20;37;Sud;0;VMA ENVIRONNEMENT;3422;45.46;4.85;38138
3000;21;20;37;30;2;ASOLTEC;3448;45.99;5.04;1330
2960;21;15;36;-90;-2;Cochet Bourgogne;2944;45.66;4.74;69530
0;20;20;;-30;;EDF ENR;0;45.75;4.54;69690
3000;17;30;36;-30;0;Watt et Home;3289;45.15;5.83;38410
2996;23;20;37;-45;-5;B&L;3250;45.23;5.82;38330
2996;21;30;;90;;PCIM PV SOLUTIONS;0;45.89;4.92;1390
3000;20;35;;45;;GMV Industrie;0;45.47;4.51;42400
2880;21;35;35;Sud;-11;Actusolis;3245;45.79;4.51;69690
3000;19;20;37;Sud;0;ISOWATT;3503;45.83;4.88;69580
3000;21;20;;-35;0;HAB26;3071;45.42;4.38;42100
2940;15;20;37;Sud;1;SRCT Systemes Solaires;3434;45.83;4.99;1700
2800;24;20;37;45;-2;ERDS;3065;45.62;4.66;69440
2640;20;20;;90;;PRIMA CLIM;0;45.50;5.00;38440
1680;19;25;;-90;;TERRE D AVENIR;0;45.26;4.56;42220
3000;29;25;36;40;0;A l Eau Solaire;3365;45.52;5.40;38690
5000;34;20;37;-90;-2;ISOWATT;4877;45.83;4.60;69210
2820;20;20;;-20;-1;SOL ENERGY;3167;45.77;4.92;69120
1715;12;40;;30;;GECO SYSTEME;0;45.39;5.29;38260
2880;26;60;;Sud;4;Apex BP SOLAR;3094;45.25;5.71;38950
9000;58;35;;-45;;ISOWATT;0;46.06;5.37;1160
3000;22;20;37;55;-2;positivenergies;3224;45.81;4.72;69890
6120;105;35;37;45;-3;COGESUN;6593;46.24;5.98;1710
6867;33;25;37;Sud;-1;SOLARTECH;7865;46.15;4.72;69220
2880;21;30;;-20;-5;CHERBLAND;3112;45.86;3.89;42430
8960;46;15;;90;;FL Energie;0;45.45;4.70;42410
2960;19;50;36;15;2;SWEETAIR ENERGIE;3355;45.47;5.57;38620
4625;28;30;36;Sud;0;ARTEIS SOLAIRE;5468;45.39;5.33;38260
2040;16;20;;45;0;EDF ENR;2223;45.74;4.79;69110
4485;33;50;37;-30;-1;SWEETAIR ENERGIE;5167;45.44;5.32;38690
2970;16;30;37;45;0;"ARt&amp;amp;amp;eacute;&amp;amp;amp;iuml;s solaire";3356;45.82;4.95;1700
2990;23;20;35;Sud;-6;Solaire Le Vent;3328;45.56;4.43;42140
9000;60;30;36;-10;2;Solartec;10318;46.33;5.19;1340
0;20;30;;80;;COGESUN;0;44.93;5.86;38350
750;7;30;36;90;4;capvera;720;45.80;5.44;1470
2850;24;30;;15;-7;PCIM PV SOLUTIONS;2931;46.11;4.45;69870
2340;20;30;37;45;-2;Ecoenvirronement;2621;46.33;6.07;1170
2880;28;15;;-15;-6;Sol R;3369;45.18;5.69;38170
1980;16;15;;Sud;-17;EODIS;2087;45.63;4.60;69440
4410;45;20;35;Sud;-3;CHERBLAND;4731;46.17;4.22;42750
4000;26;20;36;50;1;PHOTON ENERGIE;4386;45.61;5.32;38300
6000;38;20;36;-180;-4;Rhone solaire Pro;4746;45.81;4.79;69370
2640;19;40;36;75;1;Sol Azur;2703;45.55;4.91;38200
2700;15;25;36;35;3;Moi;3024;45.48;5.58;38620
3675;25;15;36;Sud;-8;BS AUTOMATION;3988;45.74;3.92;42990
2960;20;60;;90;;ROBBY SOLAR;0;45.88;5.71;1510
5500;37;20;35;-45;-2;PCIM PV SOLUTIONS;5931;45.55;4.40;42140
3000;22;30;36;-45;-1;Vasiona;3201;45.36;5.60;38500
1560;20;40;;-15;;JSSA solar;0;45.55;4.85;38200
3330;18;15;;90;;bionergy;0;46.34;6.12;1220
3000;20;25;37;Sud;1;Windeo Green Futur;3551;45.75;4.92;69120
3060;21;20;37;Sud;1;Solaire-Pro 33 rue Villeroy 69003 LYON;3568;45.75;4.94;69150
6000;48;15;36;45;2;Rhone Technical Service;6575;45.71;5.29;38460
5880;48;30;36;Sud;2;Ultimate Solare;6883;45.84;5.22;1800
11500;64;70;36;Sud;0;SPI;11982;46.03;5.67;1260
3600;42;45;;-90;;Euro france solaire;0;45.41;5.47;38690
7750;51;15;;20;-1;FL Energie;8252;45.54;4.59;42800
3000;20;25;36;40;-1;tryba;3406;45.76;5.00;69330
9000;60;15;37;90;-2;PCI-m (38);8890;45.66;4.22;42210
5880;42;20;35;30;-5;Cherbland Habitat;6352;45.94;4.42;69170
1830;15;45;36;-45;-4;Evasol;1944;45.98;4.03;42300
5000;30;35;36;-10;-2;SOL R RENOV;6147;44.96;5.77;38119
3000;22;40;;30;;Charat;0;45.35;5.60;38500
2960;21;30;;Sud;-1;VIVALDI ENVIRONNEMENT;3334;46.00;4.65;69640
2880;20;30;;-45;0;PCIM PV SOLUTIONS;3050;45.51;4.25;42170
2000;15;20;37;Sud;-1;Evasol;2274;45.93;4.71;69480
1875;15;45;36;-10;0;SOL R ELEC;2154;45.13;5.79;38320
3060;26;50;;-10;-5;SOLAIRE ATTITUDE;3588;45.24;5.82;38330
107625;880;20;29;45;-8;EPB Solaire;108870;45.87;5.36;38390
5880;42;20;37;5;-1;CPAE;6761;45.39;5.42;38690
8960;54;35;37;-45;2;AIM SOLUTIONS ENERGIES;9969;45.92;5.22;1800
6000;32;20;37;-10;-1;MySun;6915;45.71;4.71;69630
3330;30;30;;Sud;-5;bionergy;3549;45.26;4.49;42220
5180;36;15;36;0;0;VIVALDI ENVIRONNEMENT;5766;46.18;4.88;1140
5100;33;20;37;Sud;-1;SISOLEOL;5746;46.16;4.72;69220
3300;17;35;36;20;0;Photon Energie;3850;45.55;5.48;38110
1900;15;20;;Sud;-1;Evasol;2148;45.70;4.85;69190
9000;60;20;;40;-5;FL Energie;8726;45.47;4.58;42740
2880;16;20;37;-90;2;SOLAR TOTAL;2862;45.80;5.08;69330
2970;5;30;36;-45;-3;EDF ENR;3353;45.75;5.00;69330
2568;12;15;;-90;;SOLERINE ENERGY;0;45.33;5.05;38270
0;20;15;;Sud;;AUTO INSTALLATION;0;45.75;5.68;1300
6000;30;20;36;-70;-4;ISOWATT;6194;45.93;4.71;69480
2880;20;40;36;Sud;-2;as tech;3186;45.43;5.75;38380
6120;39;25;;10;-1;Eco Energie Systemes;6728;45.98;4.65;69640
5880;40;35;37;-90;-2;ARKEOS;5370;46.04;3.98;42155
3000;18;25;33;140;-32;BEEE;2021;45.05;6.02;38520
2820;20;15;36;30;-1;POLLET SA;3068;45.36;4.50;42660
8575;60;30;36;Sud;-9;PCIM PV SOLUTIONS;10063;45.40;5.52;38140
2970;15;15;36;-25;-5;EDF ENR;3356;45.40;4.73;42410
0;25;30;;-5;;UNION ENERGIE;0;45.38;4.79;38550
2996;28;15;36;Sud;0;VMA ENVIRONNEMENT;3399;45.33;5.16;38260
2996;23;25;;-55;0;AQTB;3237;45.22;5.79;38240
0;36;20;;Sud;;BEEE;0;45.48;5.20;38440
2960;18;40;38;45;-8;xx;3182;45.21;5.75;38700
2970;24;30;37;50;-7;EUROCONFORT;3062;45.28;5.89;38920
1860;16;25;35;25;1;SWEETAIR ENERGIE;2018;45.15;5.85;38410
12690;90;30;36;Sud;-1;ASOLTEC;14862;45.31;5.25;38870
2943;12;20;35;10;-5;FL Energie;3184;45.27;4.49;42220
3000;10;30;36;90;-14;R CONFORT;2659;45.11;5.66;38640
2970;24;30;37;-5;-17;Tenesol;3311;46.00;5.77;1420
5000;40;35;36;-10;1;ISOWATT;5849;45.56;5.37;38110
3330;21;35;36;20;1;Perso;3887;45.58;5.41;38110
3000;24;30;;Sud;-7;ISOWATT;3281;45.65;4.36;42140
8750;68;20;35;105;-4;CAP ECO ENERGIE;7770;46.32;5.42;1250
2940;21;35;37;Sud;1;CLIMACIEL;3516;45.93;4.80;1600
3060;25;25;37;-10;-1;PCIM PV SOLUTIONS;3579;45.75;4.72;69290
2380;14;25;37;-35;-2;Cartelectronic;2686;45.72;4.21;42110
0;20;20;;-40;;"Groupe Energ&eacute;tique de France";0;45.64;5.19;38290
6000;49;30;;0;;ISOWATT;0;46.10;4.32;69470
9000;66;35;36;10;-1;CPAE;10603;45.39;5.37;38690
3000;28;25;;45;0;SPER;3106;45.52;4.60;42800
2200;17;20;37;-40;-1;Evasol;2446;45.81;4.70;69890
9000;60;25;36;20;2;SADEJA SOLAIRE;10272;46.18;5.17;1310
6120;36;20;35;-55;0;Fe Solar;6656;45.05;5.68;38450
3000;25;20;36;90;1;"Agence Fran&ccedil;aise de l Energie";2901;46.48;5.11;1560
5880;35;20;36;-80;1;ROSAZ ENERGIES;5925;45.57;5.47;38110
2880;19;40;36;-5;-4;"H&eacute;lios El+ autoconstruction";3354;45.86;4.73;69380
6000;44;15;;45;1;PCIM-GHIS;6001;45.36;4.50;42660
9000;66;25;36;-20;-6;CPAE;10275;45.35;5.59;38500
3000;20;15;37;45;0;ARTIS EN SOLAIRE;3331;45.45;4.76;69420
3000;22;25;36;10;2;"Solha&iuml;c";3575;45.51;5.09;38440
9156;46;15;;Sud;-6;FL Energie;9592;45.48;4.64;42800
3000;18;35;37;-10;-1;Energy France Installation;3477;46.16;4.72;69220
4620;25;25;36;Sud;-1;"Rh&amp;ocirc;ne solaire Pro";5335;45.91;4.70;69480
132312;992;25;;5;-1;MSE;143920;45.86;4.51;69490
2820;18;35;36;-20;1;ECORENOVE;3337;45.59;5.18;38090
0;25;15;;75;;POINT SOLAIRE;0;45.55;4.11;42610
3000;23;30;35;-15;1;mg solar;3571;44.95;5.74;38770
9000;66;30;37;35;-1;CPAE;10377;45.43;5.50;38850
0;40;45;;45;;Rhone Technical Service;0;46.20;5.96;1630
5760;40;30;37;45;-4;PCIM PV SOLUTIONS;6150;45.23;5.41;38470
2750;16;30;35;15;3;confort solution energie;3023;45.42;4.32;42230
5000;32;15;36;45;-2;ISOWATT;5294;45.54;4.18;42450
2100;16;15;37;-45;0;Energia;2305;45.73;4.85;69008
8990;31;35;37;-5;-7;ACFER;10530;45.97;5.54;1110
6000;38;20;35;90;0;lumensol;5451;45.46;4.51;42400
6250;48;30;37;Sud;0;terre energie;7333;45.36;5.59;38500
4000;27;30;;Sud;-1;MJ Energies;4348;46.12;3.92;42640
3750;23;30;37;50;-1;veoli/ecorenove;4110;45.63;4.68;69440
3500;21;20;37;75;1;ISOWATT;3664;45.82;4.90;69140
2600;17;20;37;10;-1;123 Solaire;2941;46.01;4.68;69400
8640;45;20;35;15;-1;FL Energie;9452;45.36;4.49;42660
5000;33;15;37;Sud;-4;Marino;5717;45.22;5.76;38700
1980;12;20;36;Sud;-1;PIENERGIE / CPAE;2274;45.35;5.31;38590
3000;18;30;37;-50;9;ECORENOVE;3204;45.23;5.68;38120
3420;21;45;37;-60;-1;?;3606;45.37;5.51;38140
2940;20;20;37;-60;-2;FL Energie;3060;45.55;4.58;42800
1200;20;60;36;-40;-1;MARCIANO;1200;46.16;3.99;42640
2940;24;15;;70;0;FL Energie;2826;45.41;4.36;42150
0;20;20;;-30;;inconnu;0;46.11;4.74;69220
576;20;45;;5;;NOVASOL;0;45.29;5.63;38340
6000;40;35;36;-45;0;mysun ecorenove;6674;45.52;5.36;38300
2960;21;30;36;-45;-5;TENDANCE ECO;3404;45.40;4.67;42410
7000;40;25;37;-90;-1;HABITAT SOLUTIONS DURABLES (69400 Gleize);6830;45.75;4.73;69290
8960;60;20;37;-40;-4;sarl renov immo;9713;45.31;5.50;38210
3000;21;15;36;-45;5;AB Services;3192;45.90;5.35;1150
7194;38;20;36;Sud;3;PCIM PV SOLUTIONS;8393;45.55;5.06;38790
3000;20;15;36;-20;-2;MARCIANO SPER;3312;45.57;4.43;42140
3000;24;25;37;20;0;Solutions Soleil Energie;3517;45.78;4.82;69300
9500;57;20;36;-135;1;"H&amp;amp;amp;eacute;lios El+ autoconstruction";8110;45.66;5.28;38460
3500;24;15;37;Sud;0;AEN;4066;45.45;4.86;38138
6120;50;15;;5;-1;elec;6739;45.88;5.14;1800
2940;20;15;36;Sud;-2;FAUCHE CENTRE EST;3221;45.50;4.19;42680
2970;15;15;36;-70;-10;Lumensol;3184;45.11;5.67;38640
2760;24;30;37;-45;0;minodier ;3196;45.37;4.78;38550
2300;20;25;36;-60;-1;solaris energie solaire;2434;45.95;5.35;1500
250;24;20;37;60;1;Solr elec;272;45.70;4.93;69800
1800;10;20;36;-45;-4;Moi meme;1986;45.83;4.65;69210
6000;39;25;36;-45;-1;Isowatt;6440;45.68;4.37;69610
2040;3;20;37;20;0;perso;2351;45.76;4.87;69100
2760;15;30;36;-35;-5;"S.E.S. Solaire Energies Syst&amp;amp;egrave;me";3053;46.06;5.37;1160
2790;22;35;37;-45;-2;IDEOSUN (OMEOSUN);3078;45.83;4.60;69210
3000;15;20;37;-180;-3;ISOWATT;2331;45.73;4.01;42130
6240;41;30;34;-40;-5;Sol air confort;6637;45.39;4.26;42490
3000;16;30;36;Sud;-2;FORM QUALIPV    CASTELLANOS Philippe;3439;45.53;4.23;42160
29250;218;15;37;50;-2;SOLAR DEVELOPPEMENT;31754;45.87;4.82;69250
6000;35;30;37;5;-1;Rhone Solaire Pro;7102;45.74;4.74;69340
4000;24;20;36;-60;-5;systeme solaire;4023;45.46;4.36;42390
3000;20;20;37;Sud;-1;ASF;3572;45.46;4.80;38121
2500;22;25;37;Sud;-10;R-Sol-Elec;3009;45.16;5.68;38170
7020;45;15;37;Sud;-1;Frederic Cabot;7894;45.74;4.69;69290
3300;20;30;37;-90;-3;a;3095;46.11;3.90;42820
2640;20;35;37;45;2;Personnelle;2988;45.90;5.19;1800
4480;20;30;37;-60;0;Tendances eco;4842;45.64;4.83;69360
7200;40;15;37;20;0;ENERGISOL;8024;45.97;4.79;1600
2000;10;70;36;Sud;-1;confort de l habitat ;2151;44.95;5.77;38119
2000;10;15;37;20;-5;pienergies Saint Egreve 38;2172;45.23;5.81;38330
2943;15;20;37;Sud;0;PCIM ;3526;45.42;4.81;38550
180;80;15;37;-45;-3;guignol;194;45.63;4.51;69590
2960;32;20;37;-20;-1;VMT;3341;45.33;5.57;38430
3290;25;30;35;Sud;4;novasol;3723;45.06;5.56;38250
2880;24;20;36;15;0;Air et Chaleur d Aujourd hui;3213;45.58;4.43;42140
